,case_name,before,after,decrease,decrease_rate
0,177736_Bypass,1024,867.9580411911011,156.04195880889893,0.15238472539931536
1,177740_DoS_Exec_Code_Overflow_Mem._Corr.,1024,843.3350682854652,180.66493171453476,0.17643059737747535
2,177741_DoS_Overflow,1024,854.1929393410683,169.80706065893173,0.16582720767473802
3,177742_DoS_Overflow,1024,848.7805845737457,175.21941542625427,0.17111271037720144
4,177743_DoS,1024,877.9672568440437,146.03274315595627,0.14261010073823854
5,177747_DoS,1024,858.7483001351357,165.25169986486435,0.1613786131492816
6,177750_DoS_Exec_Code,1024,866.2449278831482,157.7550721168518,0.1540576876141131
7,177766_DoS,1024,868.6479158997536,155.35208410024643,0.1517110196291469
8,177767_DoS,1024,855.5759902596474,168.42400974035263,0.16447657201206312
9,177768_DoS,1024,867.0714353919029,156.92856460809708,0.1532505513750948
10,177770_Bypass,1024,863.6435412168503,160.35645878314972,0.15659810428041965
11,177771_nan,1024,861.7108430862427,162.28915691375732,0.15848550479859114
12,177773_DoS_Exec_Code_Overflow_Mem._Corr.,1024,842.6923977136612,181.3076022863388,0.17705820535775274
13,177774_DoS_Exec_Code_Overflow,1024,863.9606199860573,160.03938001394272,0.15628845704486594
14,177775_DoS_Exec_Code_Overflow,1024,866.1670367121696,157.83296328783035,0.15413375321077183
15,177777_DoS_Exec_Code_Overflow,1024,860.9041847586632,163.09581524133682,0.159273257071618
16,177778_DoS_Exec_Code_Overflow,1024,859.9714108109474,164.02858918905258,0.16018416912993416
17,177779_DoS_Exec_Code_Overflow,1024,861.0592191815376,162.94078081846237,0.15912185626802966
18,177780_DoS_Exec_Code_Overflow,1024,867.0867953300476,156.9132046699524,0.15323555143550038
19,177781_DoS_Exec_Code_Overflow,1024,857.0056610107422,166.9943389892578,0.16308040916919708
20,177783_DoS_Exec_Code_Overflow,1024,858.2766560316086,165.72334396839142,0.16183920309413224
21,177786_DoS_Exec_Code_Overflow,1024,862.8311660289764,161.16883397102356,0.1573914394248277
22,177787_DoS_Exec_Code_Overflow,1024,879.5576295852661,144.4423704147339,0.14105700235813856
23,177788_DoS_Exec_Code_Overflow,1024,866.3981937766075,157.6018062233925,0.15390801389003173
