,case_name,before,after,decrease,decrease_rate
0,177736_Bypass,1024,837.1182911396027,186.88170886039734,0.18250166880898178
1,177740_DoS_Exec_Code_Overflow_Mem._Corr.,1024,778.0334801673889,245.96651983261108,0.24020167952403426
2,177741_DoS_Overflow,0,0.0,0.0,0.0
3,177742_DoS_Overflow,1024,751.9479503631592,272.0520496368408,0.26567582972347736
4,177743_DoS,0,0.0,0.0,0.0
5,177747_DoS,1024,764.3761495947838,259.6238504052162,0.25353891641134396
6,177750_DoS_Exec_Code,0,0.0,0.0,0.0
7,177766_DoS,0,0.0,0.0,0.0
8,177767_DoS,1024,782.6904930472374,241.3095069527626,0.23565381538355723
9,177768_DoS,0,0.0,0.0,0.0
10,177770_Bypass,0,0.0,0.0,0.0
11,177771_nan,1024,782.6728048324585,241.3271951675415,0.23567108903080225
12,177773_DoS_Exec_Code_Overflow_Mem._Corr.,1024,764.8777495622635,259.1222504377365,0.25304907269310206
13,177774_DoS_Exec_Code_Overflow,1024,772.0581258535385,251.9418741464615,0.2460369864711538
14,177775_DoS_Exec_Code_Overflow,1024,775.3729395270348,248.62706047296524,0.24279986374313012
15,177777_DoS_Exec_Code_Overflow,1024,770.0684292912483,253.93157070875168,0.2479800495202653
16,177778_DoS_Exec_Code_Overflow,1024,772.0235361456871,251.9764638543129,0.24607076548272744
17,177779_DoS_Exec_Code_Overflow,1024,773.1121346950531,250.8878653049469,0.2450076809618622
18,177780_DoS_Exec_Code_Overflow,0,0.0,0.0,0.0
19,177781_DoS_Exec_Code_Overflow,1024,774.3629651069641,249.6370348930359,0.24378616688773036
20,177783_DoS_Exec_Code_Overflow,0,0.0,0.0,0.0
21,177786_DoS_Exec_Code_Overflow,1024,773.0570833086967,250.94291669130325,0.24506144208135083
22,177787_DoS_Exec_Code_Overflow,0,0.0,0.0,0.0
23,177788_DoS_Exec_Code_Overflow,1024,779.580576479435,244.41942352056503,0.2386908432818018
24,177789_DoS_Exec_Code_Overflow,0,0.0,0.0,0.0
25,177792_DoS_Exec_Code_Overflow,1024,788.7967755198479,235.20322448015213,0.22969064890639856
26,177793_DoS_Exec_Code_Overflow,1024,768.1680497527122,255.83195024728775,0.24983588891336694
27,177794_nan,0,0.0,0.0,0.0
28,177795_nan,0,0.0,0.0,0.0
29,177796_Overflow,1024,778.7824879288673,245.21751207113266,0.2394702266319655
30,177799_Overflow,1024,760.5729610919952,263.42703890800476,0.2572529676835984
31,177807_Bypass,0,0.0,0.0,0.0
32,177809_Bypass,1024,777.4718613624573,246.52813863754272,0.24075013538822532
33,177811_DoS,1024,769.3127802610397,254.68721973896027,0.24871798802632838
34,177812_Bypass,1024,780.7729575634003,243.22704243659973,0.23752640862949193
35,177815_Bypass,1024,784.4575086236,239.5424913764,0.23392821423476562
36,177816_Bypass,1024,788.6376338601112,235.36236613988876,0.22984606068348512
37,177821_DoS,1024,826.8091859817505,197.1908140182495,0.1925691543146968
38,177823_Exec_Code_Overflow,0,0.0,0.0,0.0
39,177825_DoS,1024,73.30022501945496,950.699774980545,0.9284177490044385
40,177826_DoS_Exec_Code_Overflow,1024,79.80508387088776,944.1949161291122,0.9220653477823362
41,177827_nan,0,0.0,0.0,0.0
42,177831_nan,0,0.0,0.0,0.0
43,177832_nan,1024,782.2241960167885,241.77580398321152,0.236109183577355
44,177833_DoS_Overflow,0,0.0,0.0,0.0
45,177839_+Info,0,0.0,0.0,0.0
46,177840_+Info,1024,792.267067193985,231.73293280601501,0.22630169219337404
47,177841_+Info,1024,794.6459386348724,229.35406136512756,0.2239785755518824
48,177842_+Info,1024,814.9797313213348,209.02026867866516,0.20412135613150895
49,177843_+Info,0,0.0,0.0,0.0
50,177844_+Info,0,0.0,0.0,0.0
51,177848_nan,0,0.0,0.0,0.0
52,177850_DoS_Overflow,1024,788.9331529736519,235.0668470263481,0.22955746779916808
53,177851_DoS_Overflow,1024,758.3746365308762,265.62536346912384,0.25939976901281625
54,177852_DoS_Overflow,1024,768.0302397608757,255.9697602391243,0.24997046898351982
