,case_name,before,after,decrease,decrease_rate
0,177736_Bypass,1600,902.5201402902603,697.4798597097397,0.4359249123185873
1,177740_DoS_Exec_Code_Overflow_Mem._Corr.,1600,853.9834424257278,746.0165575742722,0.4662603484839201
2,177741_DoS_Overflow,1600,818.7300052642822,781.2699947357178,0.4882937467098236
3,177742_DoS_Overflow,1600,796.3319648504257,803.6680351495743,0.502292521968484
4,177743_DoS,1600,731.0341495275497,868.9658504724503,0.5431036565452814
5,177747_DoS,1600,704.9679465889931,895.0320534110069,0.5593950333818793
6,177750_DoS_Exec_Code,1600,800.7809013128281,799.2190986871719,0.49951193667948246
7,177766_DoS,1600,864.1010784506798,735.8989215493202,0.45993682596832514
8,177767_DoS,1600,698.3313393592834,901.6686606407166,0.5635429129004479
9,177768_DoS,1600,651.6378323435783,948.3621676564217,0.5927263547852636
10,177770_Bypass,1600,716.3580992221832,883.6419007778168,0.5522761879861355
11,177771_nan,1600,877.6578103303909,722.3421896696091,0.4514638685435057
12,177773_DoS_Exec_Code_Overflow_Mem._Corr.,1600,819.2516502737999,780.7483497262001,0.48796771857887505
13,177774_DoS_Exec_Code_Overflow,1600,773.3987307548523,826.6012692451477,0.5166257932782173
14,177775_DoS_Exec_Code_Overflow,1600,750.8026374578476,849.1973625421524,0.5307483515888453
15,177777_DoS_Exec_Code_Overflow,1600,814.0355067253113,785.9644932746887,0.49122780829668045
16,177778_DoS_Exec_Code_Overflow,1600,777.0177711844444,822.9822288155556,0.5143638930097222
17,177779_DoS_Exec_Code_Overflow,1600,836.8360576033592,763.1639423966408,0.4769774639979005
18,177780_DoS_Exec_Code_Overflow,1600,704.058571100235,895.941428899765,0.5599633930623531
19,177781_DoS_Exec_Code_Overflow,1600,807.9654189944267,792.0345810055733,0.4950216131284833
20,177783_DoS_Exec_Code_Overflow,1600,828.908563375473,771.091436624527,0.48193214789032934
21,177786_DoS_Exec_Code_Overflow,1600,788.4131897687912,811.5868102312088,0.5072417563945055
22,177787_DoS_Exec_Code_Overflow,1600,918.6560555100441,681.3439444899559,0.4258399653062224
23,177788_DoS_Exec_Code_Overflow,1600,631.8372012972832,968.1627987027168,0.605101749189198
24,177789_DoS_Exec_Code_Overflow,1600,770.7418633699417,829.2581366300583,0.5182863353937864
25,177792_DoS_Exec_Code_Overflow,1600,766.4870494008064,833.5129505991936,0.520945594124496
26,177793_DoS_Exec_Code_Overflow,1600,596.5578746199608,1003.4421253800392,0.6271513283625245
27,177794_nan,1600,794.0445395112038,805.9554604887962,0.5037221628054976
28,177795_nan,1600,833.2994572520256,766.7005427479744,0.479187839217484
29,177796_Overflow,1600,675.3499875664711,924.6500124335289,0.5779062577709556
30,177799_Overflow,1600,749.6021846532822,850.3978153467178,0.5314986345916987
31,177807_Bypass,1600,712.6007680892944,887.3992319107056,0.5546245199441909
32,177809_Bypass,1600,944.7674099206924,655.2325900793076,0.4095203687995672
33,177811_DoS,1600,1005.031586587429,594.968413412571,0.3718552583828568
34,177812_Bypass,1600,784.1591101288795,815.8408898711205,0.5099005561694503
35,177815_Bypass,1600,973.3700981736183,626.6299018263817,0.3916436886414886
36,177816_Bypass,1600,631.7268342375755,968.2731657624245,0.6051707286015153
37,177821_DoS,1600,836.2432804703712,763.7567195296288,0.47734794970601796
38,177823_Exec_Code_Overflow,1600,786.7597534656525,813.2402465343475,0.5082751540839672
39,177825_DoS,1600,88.70257914066315,1511.2974208593369,0.9445608880370855
40,177826_DoS_Exec_Code_Overflow,1600,100.36179786920547,1499.6382021307945,0.9372738763317465
41,177827_nan,1600,689.8584231734276,910.1415768265724,0.5688384855166078
42,177831_nan,1600,830.5003207921982,769.4996792078018,0.4809372995048761
43,177832_nan,1600,777.4314139485359,822.5685860514641,0.5141053662821651
44,177833_DoS_Overflow,1600,766.4976329803467,833.5023670196533,0.5209389793872833
45,177839_+Info,1600,684.867938876152,915.132061123848,0.571957538202405
46,177840_+Info,1600,682.8118221759796,917.1881778240204,0.5732426111400127
47,177841_+Info,1600,766.4282333850861,833.5717666149139,0.5209823541343213
48,177842_+Info,1600,752.1408421993256,847.8591578006744,0.5299119736254215
49,177843_+Info,1600,916.2139728069305,683.7860271930695,0.42736626699566843
50,177844_+Info,1600,814.472828745842,785.527171254158,0.4909544820338488
51,177848_nan,1600,787.6757020354271,812.3242979645729,0.5077026862278581
52,177850_DoS_Overflow,1600,785.940993309021,814.059006690979,0.5087868791818618
53,177851_DoS_Overflow,1600,775.7643618583679,824.2356381416321,0.5151472738385201
54,177852_DoS_Overflow,1600,756.3082947731018,843.6917052268982,0.5273073157668113
55,177853_DoS_Overflow,1600,803.7739208340645,796.2260791659355,0.4976412994787097
56,177855_Bypass,1600,785.1811250448227,814.8188749551773,0.5092617968469858
57,177856_nan,1600,706.7620222568512,893.2379777431488,0.558273736089468
58,177857_nan,1600,722.5671300292015,877.4328699707985,0.548395543731749
59,177859_Exec_Code_Bypass,1600,831.4798105359077,768.5201894640923,0.48032511841505765
60,177860_Exec_Code_Bypass,1600,932.63806027174,667.36193972826,0.4171012123301625
61,177862_Exec_Code,1600,898.9966925978661,701.0033074021339,0.4381270671263337
62,177865_DoS,1600,818.5171101689339,781.4828898310661,0.48842680614441636
63,177867_nan,0,0.0,0.0,0.0
64,177869_nan,1600,886.4006791710854,713.5993208289146,0.4459995755180717
65,177870_nan,1600,829.9822964072227,770.0177035927773,0.4812610647454858
66,177874_Exec_Code_Overflow,1600,714.8512318134308,885.1487681865692,0.5532179801166057
67,177875_Exec_Code_Overflow,1600,943.9386252760887,656.0613747239113,0.4100383592024446
68,177879_DoS_Exec_Code_Overflow,1600,692.2267481088638,907.7732518911362,0.5673582824319601
69,177880_Bypass,1600,710.2642317414284,889.7357682585716,0.5560848551616072
70,177881_DoS,1600,801.8024017810822,798.1975982189178,0.49887349888682364
71,177883_nan,1600,785.8426802158356,814.1573197841644,0.5088483248651028
72,177887_DoS_Overflow,1600,848.2837400436401,751.7162599563599,0.4698226624727249
73,177891_DoS,1600,831.5536593794823,768.4463406205177,0.48027896288782357
74,177893_+Info,1600,673.5281376838684,926.4718623161316,0.5790449139475823
75,177896_nan,1600,830.0807990431786,769.9192009568214,0.4811995005980134
76,177897_+Info,1600,799.6413295269012,800.3586704730988,0.5002241690456867
77,177898_+Info,1600,744.1778504252434,855.8221495747566,0.5348888434842229
78,177899_+Info,1600,772.7136830091476,827.2863169908524,0.5170539481192827
79,177900_+Info,1600,773.9242929816246,826.0757070183754,0.5162973168864846
80,177901_Overflow,1600,856.1085901856422,743.8914098143578,0.4649321311339736
81,177904_DoS,1600,721.9349232316017,878.0650767683983,0.548790672980249
82,177905_DoS,1600,591.5701622366905,1008.4298377633095,0.6302686486020684
83,177906_DoS_Exec_Code_Overflow,1600,765.9862542152405,834.0137457847595,0.5212585911154747
84,177907_DoS_Exec_Code_Overflow,1600,751.5026848912239,848.4973151087761,0.5303108219429851
85,177909_DoS_Exec_Code_Overflow,1600,721.3245247602463,878.6754752397537,0.549172172024846
86,177910_DoS,1600,918.7304257750511,681.2695742249489,0.42579348389059307
87,177911_Exec_Code_Overflow,1600,758.3616514801979,841.6383485198021,0.5260239678248763
88,177912_Exec_Code_Overflow,1600,726.9554651975632,873.0445348024368,0.545652834251523
89,177913_Exec_Code_Overflow,1600,759.517483830452,840.482516169548,0.5253015726059675
90,177915_Exec_Code_Overflow,1600,932.8729088902473,667.1270911097527,0.4169544319435954
91,177917_Exec_Code,1600,730.7244590520859,869.2755409479141,0.5432972130924463
92,177918_Exec_Code,1600,760.883670091629,839.116329908371,0.5244477061927318
93,177919_nan,1600,710.669219315052,889.330780684948,0.5558317379280925
94,177920_nan,1600,715.992676615715,884.007323384285,0.5525045771151781
