case_id,vuln_type,audit_report,input_token_num,output_token_num,inference_time
177736,Bypass,"YES
The code contains a Bypass vulnerability. 
The CVE-ID is CVE-2015-8467. The CWE-ID is CWE-264.
Vulnerability summary:
The samldb_check_user_account_control_acl function in dsdb/samdb/ldb_modules/samldb.c in Samba 4.x before 4.1.22, 4.2.x before 4.2.7, and 4.3.x before 4.3.3 does not properly check for administrative privileges during creation of machine accounts, which allows remote authenticated users to bypass intended access restrictions by leveraging the existence of a domain with both a Samba DC and a Windows DC, a similar issue to CVE-2015-2535. 
",2200,176,10.26800799369812
177740,DoS Exec Code Overflow Mem. Corr.,"YES
The code contains a DoS_Exec_Code_Overflow_Mem._Corr. vulnerability. 
The CVE-ID is CVE-2013-6420. The CWE-ID is CWE-119.
Vulnerability summary:
The asn1_time_to_time_t function in ext/openssl/openssl.c in PHP before 5.3.28, 5.4.x before 5.4.23, and 5.5.x before 5.5.7 does not properly parse (1) notBefore and (2) notAfter timestamps in X.509 certificates, which allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted certificate that is not properly handled by the openssl_x509_parse function. 
",1929,184,10.697609424591064
177741,DoS Overflow,"NO 
",1238,4,0.5647311210632324
177742,DoS Overflow,"NO 
",1206,4,0.5594139099121094
177743,DoS,"NO 
",3343,4,0.9452168941497803
177747,DoS,"YES
The code contains a DoS vulnerability. 
The CVE-ID is CVE-2013-6051. The CWE-ID is CWE-401.
Vulnerability summary:
The bgp_attr_unknown function in bgp_attr.c in Quagga 0.99.21 does not properly initialize the total variable, which allows remote attackers to cause a denial of service (bgpd crash) via a crafted BGP update. 
",2001,106,6.3572001457214355
177750,DoS Exec Code,"YES
The code contains a Use After Free vulnerability. 
",1997,14,1.236691951751709
177766,DoS,"YES
The code contains a DoS vulnerability. 
The CVE-ID is CVE-2015-7540. The CWE-ID is CWE-399.
Vulnerability summary:
The LDAP server in the AD domain controller in Samba 4.x before 4.1.22 does not check return values to ensure successful ASN.1 memory allocation, which allows remote attackers to cause a denial of service (memory consumption and daemon crash) via crafted packets. 


",3951,106,6.760389089584351
177767,DoS,"YES
The code contains a DoS vulnerability. 
The CVE-ID is CVE-2015-7540. The CWE-ID is CWE-399.
Vulnerability summary:
The LDAP server in the AD domain controller in Samba 4.x before 4.1.22 does not check return values to ensure successful ASN.1 memory allocation, which allows remote attackers to cause a denial of service (memory consumption and daemon crash) via crafted packets. 
",1925,106,6.360210418701172
177768,DoS,"YES
The code contains a DoS vulnerability. 
The CVE-ID is CVE-2018-20482. The CWE-ID is CWE-835.
Vulnerability summary:
GNU Tar through 1.30, when --sparse is used, mishandles file shrinkage during read access, which allows local users to cause a denial of service (infinite read loop in sparse_dump_region in sparse.c) by modifying a file that is supposed to be archived by a different user's process (e.g., a system backup running as root). 
",2463,128,7.742582082748413
177770,Bypass,"NO 
",2958,4,0.8519508838653564
177771,nan,"YES
The code contains a nan vulnerability. 
It is vulnerable to a stack overflow attack. 
",1687,23,1.7095730304718018
177773,DoS Exec Code Overflow Mem. Corr.,"YES
The code contains a DoS_Exec_Code_Overflow_Mem._Corr. vulnerability. 
The CVE-ID is CVE-2009-3607. The CWE-ID is CWE-189.
Vulnerability summary:
Integer overflow in the create_surface_from_thumbnail_data function in glib/poppler-page.cc in Poppler 0.x allows remote attackers to cause a denial of service (memory corruption) or possibly execute arbitrary code via a crafted PDF document that triggers a heap-based buffer overflow.  NOTE: some of these details are obtained from third party information. 


",1472,137,7.9828877449035645
177774,DoS Exec Code Overflow,"YES
The code contains a DoS_Exec_Code_Overflow vulnerability. 
The CVE-ID is CVE-2009-3605. The CWE-ID is CWE-189.
Vulnerability summary:
Multiple integer overflows in Poppler 0.10.5 and earlier allow remote attackers to cause a denial of service (application crash) or possibly execute arbitrary code via a crafted PDF file, related to (1) glib/poppler-page.cc; (2) ArthurOutputDev.cc, (3) CairoOutputDev.cc, (4) GfxState.cc, (5) JBIG2Stream.cc, (6) PSOutputDev.cc, and (7) SplashOutputDev.cc in poppler/; and (8) SplashBitmap.cc, (9) Splash.cc, and (10) SplashFTFont.cc in splash/.  NOTE: this may overlap CVE-2009-0791. 


",3055,215,12.7406644821167
177775,DoS Exec Code Overflow,"YES
The code contains a DoS_Exec_Code_Overflow vulnerability. 
The CVE-ID is CVE-2009-3605. The CWE-ID is CWE-189.
Vulnerability summary:
Multiple integer overflows in Poppler 0.10.5 and earlier allow remote attackers to cause a denial of service (application crash) or possibly execute arbitrary code via a crafted PDF file, related to (1) glib/poppler-page.cc; (2) ArthurOutputDev.cc, (3) CairoOutputDev.cc, (4) GfxState.cc, (5) JBIG2Stream.cc, (6) PSOutputDev.cc, and (7) SplashOutputDev.cc in poppler/; and (8) SplashBitmap.cc, (9) Splash.cc, and (10) SplashFTFont.cc in splash/.  NOTE: this may overlap CVE-2009-0791. 


",2373,215,12.460594415664673
177777,DoS Exec Code Overflow,"YES
The code contains a DoS_Exec_Code_Overflow vulnerability. 
The CVE-ID is CVE-2009-3605. The CWE-ID is CWE-189.
Vulnerability summary:
Multiple integer overflows in Poppler 0.10.5 and earlier allow remote attackers to cause a denial of service (application crash) or possibly execute arbitrary code via a crafted PDF file, related to (1) glib/poppler-page.cc; (2) ArthurOutputDev.cc, (3) CairoOutputDev.cc, (4) GfxState.cc, (5) JBIG2Stream.cc, (6) PSOutputDev.cc, and (7) SplashOutputDev.cc in poppler/; and (8) SplashBitmap.cc, (9) Splash.cc, and (10) SplashFTFont.cc in splash/.  NOTE: this may overlap CVE-2009-0791. 


",2815,215,12.619166851043701
177778,DoS Exec Code Overflow,"YES
The code contains a DoS_Exec_Code_Overflow vulnerability. 
The CVE-ID is CVE-2009-3605. The CWE-ID is CWE-189.
Vulnerability summary:
Multiple integer overflows in Poppler 0.10.5 and earlier allow remote attackers to cause a denial of service (application crash) or possibly execute arbitrary code via a crafted PDF file, related to (1) glib/poppler-page.cc; (2) ArthurOutputDev.cc, (3) CairoOutputDev.cc, (4) GfxState.cc, (5) JBIG2Stream.cc, (6) PSOutputDev.cc, and (7) SplashOutputDev.cc in poppler/; and (8) SplashBitmap.cc, (9) Splash.cc, and (10) SplashFTFont.cc in splash/. 


",3077,197,11.643914699554443
177779,DoS Exec Code Overflow,"YES
The code contains a DoS_Exec_Code_Overflow vulnerability. 
The CVE-ID is CVE-2009-3605. The CWE-ID is CWE-189.
Vulnerability summary:
Multiple integer overflows in Poppler 0.10.5 and earlier allow remote attackers to cause a denial of service (application crash) or possibly execute arbitrary code via a crafted PDF file, related to (1) glib/poppler-page.cc; (2) ArthurOutputDev.cc, (3) CairoOutputDev.cc, (4) GfxState.cc, (5) JBIG2Stream.cc, (6) PSOutputDev.cc, and (7) SplashOutputDev.cc in poppler/; and (8) SplashBitmap.cc, (9) Splash.cc, and (10) SplashFTFont.cc in splash/. 


",3111,197,11.695728778839111
177780,DoS Exec Code Overflow,"YES
The code contains a DoS_Exec_Code_Overflow vulnerability. 
The CVE-ID is CVE-2009-3605. The CWE-ID is CWE-189.
Vulnerability summary:
Multiple integer overflows in Poppler 0.10.5 and earlier allow remote attackers to cause a denial of service (application crash) or possibly execute arbitrary code via a crafted PDF file, related to (1) glib/poppler-page.cc; (2) ArthurOutputDev.cc, (3) CairoOutputDev.cc, (4) GfxState.cc, (5) JBIG2Stream.cc, (6) PSOutputDev.cc, and (7) SplashOutputDev.cc in poppler/; and (8) SplashBitmap.cc, (9) Splash.cc, and (10) SplashFTFont.cc in splash/.  NOTE: this may overlap CVE-2009-0791. 


",3423,215,12.701929569244385
177781,DoS Exec Code Overflow,"YES
The code contains a DoS_Exec_Code_Overflow vulnerability. 
The CVE-ID is CVE-2009-3605. The CWE-ID is CWE-189.
Vulnerability summary:
Multiple integer overflows in Poppler 0.10.5 and earlier allow remote attackers to cause a denial of service (application crash) or possibly execute arbitrary code via a crafted PDF file, related to (1) glib/poppler-page.cc; (2) ArthurOutputDev.cc, (3) CairoOutputDev.cc, (4) GfxState.cc, (5) JBIG2Stream.cc, (6) PSOutputDev.cc, and (7) SplashOutputDev.cc in poppler/; and (8) SplashBitmap.cc, (9) Splash.cc, and (10) SplashFTFont.cc in splash/.  NOTE: this may overlap CVE-2009-0791. 


The code uses `gmalloc` to allocate memory. This function is vulnerable to buffer overflows. 
",1353,236,13.594242811203003
177783,DoS Exec Code Overflow,"YES
The code contains a DoS_Exec_Code_Overflow vulnerability. 
The CVE-ID is CVE-2009-3605. The CWE-ID is CWE-189.
Vulnerability summary:
Multiple integer overflows in Poppler 0.10.5 and earlier allow remote attackers to cause a denial of service (application crash) or possibly execute arbitrary code via a crafted PDF file, related to (1) glib/poppler-page.cc; (2) ArthurOutputDev.cc, (3) CairoOutputDev.cc, (4) GfxState.cc, (5) JBIG2Stream.cc, (6) PSOutputDev.cc, and (7) SplashOutputDev.cc in poppler/; and (8) SplashBitmap.cc, (9) Splash.cc, and (10) SplashFTFont.cc in splash/.  NOTE: this may overlap CVE-2009-0791. 


The code uses `gmalloc` to allocate memory. This function is vulnerable to buffer overflows. 
",1353,236,13.498530626296997
177786,DoS Exec Code Overflow,"YES
The code contains a DoS_Exec_Code_Overflow vulnerability. 
The CVE-ID is CVE-2009-3605. The CWE-ID is CWE-189.
Vulnerability summary:
Multiple integer overflows in Poppler 0.10.5 and earlier allow remote attackers to cause a denial of service (application crash) or possibly execute arbitrary code via a crafted PDF file, related to (1) glib/poppler-page.cc; (2) ArthurOutputDev.cc, (3) CairoOutputDev.cc, (4) GfxState.cc, (5) JBIG2Stream.cc, (6) PSOutputDev.cc, and (7) SplashOutputDev.cc in poppler/; and (8) SplashBitmap.cc, (9) Splash.cc, and (10) SplashFTFont.cc in splash/. 


",3051,197,11.61800503730774
177787,DoS Exec Code Overflow,"NO 
",4033,4,1.0733048915863037
177788,DoS Exec Code Overflow,"YES
The code contains a DoS_Exec_Code_Overflow vulnerability. 
The CVE-ID is CVE-2009-3605. The CWE-ID is CWE-189.
Vulnerability summary:
Multiple integer overflows in Poppler 0.10.5 and earlier allow remote attackers to cause a denial of service (application crash) or possibly execute arbitrary code via a crafted PDF file, related to (1) glib/poppler-page.cc; (2) ArthurOutputDev.cc, (3) CairoOutputDev.cc, (4) GfxState.cc, (5) JBIG2Stream.cc, (6) PSOutputDev.cc, and (7) SplashOutputDev.cc in poppler/; and (8) SplashBitmap.cc, (9) Splash.cc, and (10) SplashFTFont.cc in splash/.  NOTE: this may overlap CVE-2009-0791. 


",3739,215,12.762207269668579
177789,DoS Exec Code Overflow,"YES
The code contains a DoS_Exec_Code_Overflow vulnerability. 
The CVE-ID is CVE-2009-3605. The CWE-ID is CWE-189.
Vulnerability summary:
Multiple integer overflows in Poppler 0.10.5 and earlier allow remote attackers to cause a denial of service (application crash) or possibly execute arbitrary code via a crafted PDF file, related to (1) glib/poppler-page.cc; (2) ArthurOutputDev.cc, (3) CairoOutputDev.cc, (4) GfxState.cc, (5) JBIG2Stream.cc, (6) PSOutputDev.cc, and (7) SplashOutputDev.cc in poppler/; and (8) SplashBitmap.cc, (9) Splash.cc, and (10) SplashFTFont.cc in splash/.  NOTE: this may overlap CVE-2009-0791. 


",1687,215,12.498539924621582
177792,DoS Exec Code Overflow,"NO 
",1417,4,0.5780541896820068
177793,DoS Exec Code Overflow,"YES
The code contains a DoS_Exec_Code_Overflow vulnerability. 
The CVE-ID is CVE-2009-3605. The CWE-ID is CWE-189.
Vulnerability summary:
Multiple integer overflows in Poppler 0.10.5 and earlier allow remote attackers to cause a denial of service (application crash) or possibly execute arbitrary code via a crafted PDF file, related to (1) glib/poppler-page.cc; (2) ArthurOutputDev.cc, (3) CairoOutputDev.cc, (4) GfxState.cc, (5) JBIG2Stream.cc, (6) PSOutputDev.cc, and (7) SplashOutputDev.cc in poppler/; and (8) SplashBitmap.cc, (9) Splash.cc, and (10) SplashFTFont.cc in splash/.  NOTE: this may overlap CVE-2009-0791. 


",2443,215,12.545318841934204
177794,nan,"NO 
",1704,4,0.6377451419830322
177795,nan,"NO 
",1801,4,0.6537380218505859
