blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
maxProfitIII-Solution.maxProfit,14,53,5,28,0.7910447761194029
count-anagrams-Solution.countAnagrams,15,52,4,29,0.7761194029850746
recover-the-original-array-Solution.recoverArray,15,52,10,23,0.7761194029850746
uniquePathWithObstacles-Solution.uniquePathsWithObstacles,15,52,4,29,0.7761194029850746
find-the-largest-palindrome-divisible-by-k-Solution.largestPalindrome,16,51,9,24,0.7611940298507462
apply-operations-to-maximize-score-Solution.maximumScore,18,49,10,23,0.7313432835820896
determine-whether-matrix-can-be-obtained-by-rotation-Solution.findRotation,18,49,9,24,0.7313432835820896
fair-distribution-of-cookies-Solution.distributeCookies,18,49,10,23,0.7313432835820896
sortColors-Solution.sortColors,18,49,3,30,0.7313432835820896
filter-restaurants-by-vegan-friendly-price-and-distance-Solution.filterRestaurants,19,48,13,20,0.7164179104477612
find-the-shortest-superstring-Solution.shortestSuperstring,19,48,7,26,0.7164179104477612
minimum-cost-to-reach-city-with-discounts-Solution.minimumCost,19,48,14,19,0.7164179104477612
maximum-value-sum-by-placing-three-rooks-ii-Solution.maximumValueSum,20,47,9,24,0.7014925373134329
canCompleteCircuit-Solution.canCompleteCircuit,21,46,5,28,0.6865671641791045
dice-roll-simulation-Solution.dieSimulator,21,46,6,27,0.6865671641791045
find-all-possible-recipes-from-given-supplies-Solution.findAllRecipes,21,46,14,19,0.6865671641791045
find-k-pairs-with-smallest-sums-Solution.kSmallestPairs,21,46,10,23,0.6865671641791045
maximum-number-of-moves-to-kill-all-pawns-Solution.maxMoves,21,46,6,27,0.6865671641791045
minCut-Solution.minCut,21,46,7,26,0.6865671641791045
minimum-height-trees-Solution.findMinHeightTrees,21,46,12,21,0.6865671641791045
high-access-employees-Solution.findHighAccessEmployees,22,45,7,26,0.6716417910447762
maximum-value-sum-by-placing-three-rooks-i-Solution.maximumValueSum,22,45,11,22,0.6716417910447762
minDistance-Solution.minDistance,22,45,7,26,0.6716417910447762
searchMatrix2-Solution.searchMatrix,22,45,8,25,0.6716417910447762
cheapest-flights-within-k-stops-Solution.findCheapestPrice,23,44,10,23,0.6567164179104478
check-if-there-is-a-valid-path-in-a-grid-Solution.hasValidPath,23,44,11,22,0.6567164179104478
confusing-number-Solution.confusingNumber,23,44,5,28,0.6567164179104478
minimum-jumps-to-reach-home-Solution.minimumJumps,23,44,9,24,0.6567164179104478
get-biggest-three-rhombus-sums-in-a-grid-Solution.getBiggestThree,24,43,15,18,0.6417910447761194
perfect-rectangle-Solution.isRectangleCover,24,43,8,25,0.6417910447761194
find-the-grid-of-region-average-Solution.resultGrid,25,42,8,25,0.6268656716417911
find-the-index-of-the-large-integer-Solution.getIndex,25,42,4,29,0.6268656716417911
get-watched-videos-by-your-friends-Solution.watchedVideosByFriends,25,42,9,24,0.6268656716417911
k-highest-ranked-items-within-a-price-range-Solution.highestRankedKItems,25,42,10,23,0.6268656716417911
minimum-adjacent-swaps-for-k-consecutive-ones-Solution.minMoves,25,42,14,19,0.6268656716417911
numDistinct-Solution.numDistinct,25,42,9,24,0.6268656716417911
number-of-pairs-of-interchangeable-rectangles-Solution.interchangeableRectangles,25,42,12,21,0.6268656716417911
palindromePartition-Solution.partition,25,42,11,22,0.6268656716417911
partition-array-into-two-arrays-to-minimize-sum-difference-Solution.minimumDifference,25,42,9,24,0.6268656716417911
prime-pairs-with-target-sum-Solution.findPrimePairs,25,42,6,27,0.6268656716417911
shortest-common-supersequence-Solution.shortestCommonSupersequence,25,42,11,22,0.6268656716417911
erect-the-fence-Solution.outerTrees,26,41,16,17,0.6119402985074627
find-a-safe-walk-through-a-grid-Solution.findSafeWalk,26,41,9,24,0.6119402985074627
find-products-of-elements-of-big-array-Solution.findProductsOfElements,26,41,10,23,0.6119402985074627
minimum-time-to-finish-the-race-Solution.minimumFinishTime,26,41,12,21,0.6119402985074627
minimumTotal-Solution.minimumTotal,26,41,11,22,0.6119402985074627
stamping-the-grid-Solution.possibleToStamp,26,41,10,23,0.6119402985074627
build-a-matrix-with-conditions-Solution.buildMatrix,27,40,12,21,0.5970149253731343
double-modular-exponentiation-Solution.getGoodIndices,27,40,12,21,0.5970149253731343
majority-element-ii-Solution.majorityElement,27,40,9,24,0.5970149253731343
stamping-the-sequence-Solution.movesToStamp,27,40,9,24,0.5970149253731343
surrounded-regions-Solution.solve,27,40,6,27,0.5970149253731343
word-pattern-Solution.wordPattern,27,40,16,17,0.5970149253731343
distribute-repeating-integers-Solution.canDistribute,28,39,11,22,0.582089552238806
guess-the-number-using-bitwise-questions-i-Solution.findNumber,28,39,7,26,0.582089552238806
maximum-sum-of-3-non-overlapping-subarrays-Solution.maxSumOfThreeSubarrays,28,39,10,23,0.582089552238806
number-of-ways-to-reconstruct-a-tree-Solution.checkWays,28,39,13,20,0.582089552238806
sorted-gcd-pair-queries-Solution.gcdValues,28,39,12,21,0.582089552238806
spiral-matrix-iv-Solution.spiralMatrix,28,39,12,21,0.582089552238806
sum-of-remoteness-of-all-cells-Solution.sumRemoteness,28,39,10,23,0.582089552238806
check-if-it-is-a-good-array-Solution.isGoodArray,29,38,14,19,0.5671641791044776
execution-of-all-suffix-instructions-staying-in-a-grid-Solution.executeInstructions,29,38,16,17,0.5671641791044776
isMatch-Solution.isMatch,29,38,8,25,0.5671641791044776
maximum-number-of-upgradable-servers-Solution.maxUpgrades,29,38,13,20,0.5671641791044776
minimum-cost-for-tickets-Solution.mincostTickets,29,38,11,22,0.5671641791044776
isInterleave-Solution.isInterleave,30,37,6,27,0.5522388059701493
number-of-equal-numbers-blocks-Solution.countBlocks,30,37,17,16,0.5522388059701493
smallest-greater-multiple-made-of-two-digits-Solution.findInteger,30,37,12,21,0.5522388059701493
find-the-occurrence-of-first-almost-equal-substring-Solution.minStartingIndex,31,36,14,19,0.5373134328358209
grid-illumination-Solution.gridIllumination,31,36,9,24,0.5373134328358209
match-alphanumerical-pattern-in-matrix-i-Solution.findPattern,31,36,13,20,0.5373134328358209
find-indices-with-index-and-value-difference-ii-Solution.findIndices,32,35,11,22,0.5223880597014925
statistics-from-a-large-sample-Solution.sampleStats,32,35,11,22,0.5223880597014925
the-most-similar-path-in-a-graph-Solution.mostSimilar,32,35,10,23,0.5223880597014925
couples-holding-hands-Solution.minSwapsCouples,33,34,10,23,0.5074626865671642
extract-kth-character-from-the-rope-tree-Solution.getKthCharacter,33,34,12,21,0.5074626865671642
minimum-operations-to-convert-number-Solution.minimumOperations,33,34,9,24,0.5074626865671642
number-of-atoms-Solution.countOfAtoms,33,34,16,17,0.5074626865671642
shortest-cycle-in-a-graph-Solution.findShortestCycle,33,34,14,19,0.5074626865671642
best-time-to-buy-and-sell-stock-iv-Solution.maxProfit,34,33,16,17,0.4925373134328358
closest-subsequence-sum-Solution.minAbsDifference,34,33,16,17,0.4925373134328358
create-binary-tree-from-descriptions-Solution.createBinaryTree,34,33,14,19,0.4925373134328358
find-root-of-n-ary-tree-Solution.findRoot,34,33,15,18,0.4925373134328358
maximum-number-of-operations-with-the-same-score-ii-Solution.maxOperations,34,33,9,24,0.4925373134328358
jump-Solution.jump,35,32,12,21,0.47761194029850745
number-of-black-blocks-Solution.countBlackBlocks,35,32,10,23,0.47761194029850745
convert-Solution.convert,36,31,12,21,0.4626865671641791
guess-the-majority-in-a-hidden-array-Solution.guessMajority,37,30,17,16,0.44776119402985076
