,cosine-similarity
177736_Bypass.cpp,0.9531
177740_DoS_Exec_Code_Overflow_Mem._Corr..cpp,0.9149
177741_DoS_Overflow.cpp,0.9245
177742_DoS_Overflow.cpp,0.9151
177743_DoS.cpp,0.9652
177747_DoS.cpp,0.9940
177750_DoS_Exec_Code.cpp,0.9591
177766_DoS.cpp,0.9877
177767_DoS.cpp,0.9464
177768_DoS.cpp,0.9740
177770_Bypass.cpp,0.9696
177771_nan.cpp,0.9674
177773_DoS_Exec_Code_Overflow_Mem._Corr..cpp,0.9465
177774_DoS_Exec_Code_Overflow.cpp,0.9842
177775_DoS_Exec_Code_Overflow.cpp,0.9825
177777_DoS_Exec_Code_Overflow.cpp,0.9893
177778_DoS_Exec_Code_Overflow.cpp,0.9918
177779_DoS_Exec_Code_Overflow.cpp,0.9882
177780_DoS_Exec_Code_Overflow.cpp,0.9424
177781_DoS_Exec_Code_Overflow.cpp,0.9173
177783_DoS_Exec_Code_Overflow.cpp,0.9168
177786_DoS_Exec_Code_Overflow.cpp,0.9815
177787_DoS_Exec_Code_Overflow.cpp,0.9960
177788_DoS_Exec_Code_Overflow.cpp,0.9937
177789_DoS_Exec_Code_Overflow.cpp,0.9337
177792_DoS_Exec_Code_Overflow.cpp,0.8742
177793_DoS_Exec_Code_Overflow.cpp,0.9837
177794_nan.cpp,0.9748
177795_nan.cpp,0.9679
177796_Overflow.cpp,0.9342
177799_Overflow.cpp,0.9407
177807_Bypass.cpp,0.9515
177809_Bypass.cpp,0.9732
177811_DoS.cpp,0.9584
177812_Bypass.cpp,0.8980
177815_Bypass.cpp,0.9653
177816_Bypass.cpp,0.9558
177821_DoS.cpp,0.9587
177823_Exec_Code_Overflow.cpp,0.9344
177825_DoS.cpp,0.9462
177826_DoS_Exec_Code_Overflow.cpp,0.9351
177827_nan.cpp,0.9113
177831_nan.cpp,0.8894
177832_nan.cpp,0.9119
177833_DoS_Overflow.cpp,0.9448
177839_+Info.cpp,0.9423
177840_+Info.cpp,0.9181
177841_+Info.cpp,0.9103
177842_+Info.cpp,0.9069
177843_+Info.cpp,0.9426
177844_+Info.cpp,0.9160
177848_nan.cpp,0.9067
177850_DoS_Overflow.cpp,0.9529
177851_DoS_Overflow.cpp,0.9475
177852_DoS_Overflow.cpp,0.9515
177853_DoS_Overflow.cpp,0.9288
177855_Bypass.cpp,0.9686
177856_nan.cpp,0.9825
177857_nan.cpp,0.9330
177859_Exec_Code_Bypass.cpp,0.9605
177860_Exec_Code_Bypass.cpp,0.9384
177862_Exec_Code.cpp,0.9579
177865_DoS.cpp,0.8419
177867_nan.cpp,0.9959
177869_nan.cpp,0.9836
177870_nan.cpp,0.9322
177874_Exec_Code_Overflow.cpp,0.9712
177875_Exec_Code_Overflow.cpp,0.9824
177879_DoS_Exec_Code_Overflow.cpp,0.9516
177880_Bypass.cpp,0.9748
177881_DoS.cpp,0.9147
177883_nan.cpp,0.9545
177887_DoS_Overflow.cpp,0.9880
177891_DoS.cpp,0.9404
177893_+Info.cpp,0.9382
177896_nan.cpp,0.9307
177897_+Info.cpp,0.9070
177898_+Info.cpp,0.9037
177899_+Info.cpp,0.8889
177900_+Info.cpp,0.9028
177901_Overflow.cpp,0.8313
177904_DoS.cpp,0.9455
177905_DoS.cpp,0.9567
177906_DoS_Exec_Code_Overflow.cpp,0.9532
177907_DoS_Exec_Code_Overflow.cpp,0.9263
177909_DoS_Exec_Code_Overflow.cpp,0.9285
177910_DoS.cpp,0.9302
177911_Exec_Code_Overflow.cpp,0.8695
177912_Exec_Code_Overflow.cpp,0.8310
177913_Exec_Code_Overflow.cpp,0.9233
177915_Exec_Code_Overflow.cpp,0.9411
177917_Exec_Code.cpp,0.9226
177918_Exec_Code.cpp,0.9041
177919_nan.cpp,0.9531
177920_nan.cpp,0.9216
177921_nan.cpp,0.9137
177922_Exec_Code_Overflow.cpp,0.9570
177923_Bypass.cpp,0.9259
177926_Exec_Code_Overflow.cpp,0.9592
177927_nan.cpp,0.9932
min,0.8310
max,0.9960
mean,0.9420
