,cosine-similarity
100_CWE-918.py,-1.0000
10_CWE-918.py,-1.0000
11_CWE-918.py,-1.0000
12_CWE-918.py,-1.0000
13_CWE-918.py,-1.0000
14_CWE-918.py,-1.0000
15_CWE-918.py,-1.0000
16_CWE-918.py,-1.0000
17_CWE-918.py,-1.0000
18_CWE-918.py,-1.0000
19_CWE-918.py,-1.0000
1_CWE-918.py,-1.0000
20_CWE-918.py,-1.0000
21_CWE-918.py,-1.0000
22_CWE-918.py,-1.0000
23_CWE-918.py,-1.0000
24_CWE-918.py,-1.0000
25_CWE-918.py,-1.0000
26_CWE-918.py,-1.0000
27_CWE-918.py,-1.0000
28_CWE-918.py,-1.0000
29_CWE-918.py,-1.0000
2_CWE-918.py,-1.0000
30_CWE-918.py,-1.0000
31_CWE-918.py,-1.0000
32_CWE-918.py,-1.0000
33_CWE-918.py,-1.0000
34_CWE-918.py,-1.0000
35_CWE-918.py,-1.0000
36_CWE-918.py,-1.0000
37_CWE-918.py,-1.0000
38_CWE-918.py,-1.0000
39_CWE-918.py,-1.0000
3_CWE-601.py,-1.0000
40_CWE-918.py,-1.0000
41_CWE-918.py,-1.0000
42_CWE-918.py,-1.0000
43_CWE-918.py,-1.0000
44_CWE-918.py,-1.0000
45_CWE-918.py,-1.0000
46_CWE-918.py,-1.0000
47_CWE-918.py,-1.0000
48_CWE-918.py,-1.0000
49_CWE-918.py,-1.0000
4_CWE-601.py,-1.0000
50_CWE-918.py,-1.0000
51_CWE-918.py,-1.0000
52_CWE-918.py,-1.0000
53_CWE-918.py,-1.0000
54_CWE-918.py,-1.0000
55_CWE-918.py,-1.0000
56_CWE-918.py,-1.0000
57_CWE-918.py,-1.0000
58_CWE-918.py,-1.0000
59_CWE-918.py,-1.0000
5_CWE-918.py,-1.0000
60_CWE-918.py,-1.0000
61_CWE-918.py,-1.0000
62_CWE-918.py,-1.0000
63_CWE-863.py,-1.0000
64_CWE-863.py,-1.0000
65_CWE-863.py,-1.0000
66_CWE-203.py,-1.0000
67_CWE-203.py,-1.0000
68_CWE-601.py,-1.0000
69_CWE-93.py,-1.0000
6_CWE-918.py,-1.0000
70_CWE-93.py,-1.0000
71_CWE-93.py,-1.0000
72_CWE-93.py,-1.0000
73_CWE-93.py,-1.0000
74_CWE-79.py,-1.0000
75_CWE-918.py,-1.0000
76_CWE-284.py,-1.0000
77_CWE-918.py,-1.0000
78_CWE-116.py,-1.0000
79_CWE-918.py,-1.0000
7_CWE-918.py,-1.0000
80_CWE-601.py,-1.0000
81_CWE-264.py,-1.0000
82_CWE-78.py,-1.0000
83_CWE-22.py,-1.0000
84_CWE-352.py,-1.0000
85_CWE-290.py,-1.0000
86_CWE-835.py,-1.0000
87_CWE-444.py,-1.0000
88_CWE-79.py,-1.0000
89_CWE-22.py,-1.0000
8_CWE-918.py,-1.0000
90_CWE-22.py,-1.0000
91_CWE-918.py,-1.0000
92_CWE-22.py,-1.0000
93_CWE-22.py,-1.0000
94_CWE-918.py,-1.0000
95_CWE-79.py,-1.0000
96_CWE-918.py,-1.0000
97_CWE-918.py,-1.0000
98_CWE-918.py,-1.0000
99_CWE-918.py,-1.0000
9_CWE-918.py,-1.0000
min,-1.0000
max,-1.0000
mean,-1.0000
