,cosine-similarity
100_CWE-918.py,0.9672
10_CWE-918.py,0.8780
11_CWE-918.py,0.8884
12_CWE-918.py,0.8884
13_CWE-918.py,0.9642
14_CWE-918.py,0.9642
15_CWE-918.py,0.9229
16_CWE-918.py,0.9229
17_CWE-918.py,0.9950
18_CWE-918.py,0.9950
19_CWE-918.py,0.9231
1_CWE-918.py,0.8995
20_CWE-918.py,0.9231
21_CWE-918.py,0.9825
22_CWE-918.py,0.9825
23_CWE-918.py,0.8771
24_CWE-918.py,0.8771
25_CWE-918.py,0.9882
26_CWE-918.py,0.9882
27_CWE-918.py,0.9842
28_CWE-918.py,0.9842
29_CWE-918.py,0.8970
2_CWE-918.py,0.8676
30_CWE-918.py,0.8970
31_CWE-918.py,0.9382
32_CWE-918.py,0.9382
33_CWE-918.py,0.9189
34_CWE-918.py,0.9189
35_CWE-918.py,0.9454
36_CWE-918.py,0.9454
37_CWE-918.py,0.9738
38_CWE-918.py,0.9738
39_CWE-918.py,0.9964
3_CWE-601.py,0.9942
40_CWE-918.py,0.9964
41_CWE-918.py,0.9431
42_CWE-918.py,0.9431
43_CWE-918.py,0.9770
44_CWE-918.py,0.9770
45_CWE-918.py,0.9594
46_CWE-918.py,0.9594
47_CWE-918.py,0.9892
48_CWE-918.py,0.9892
49_CWE-918.py,0.9415
4_CWE-601.py,0.9251
50_CWE-918.py,0.9415
51_CWE-918.py,0.9874
52_CWE-918.py,0.9874
53_CWE-918.py,0.8893
54_CWE-918.py,0.8893
55_CWE-918.py,0.9711
56_CWE-918.py,0.9711
57_CWE-918.py,0.9437
58_CWE-918.py,0.9437
59_CWE-918.py,0.9678
5_CWE-918.py,0.8965
60_CWE-918.py,0.9678
61_CWE-918.py,0.8318
62_CWE-918.py,0.8318
63_CWE-863.py,0.7867
64_CWE-863.py,0.9149
65_CWE-863.py,0.9252
66_CWE-203.py,0.9103
67_CWE-203.py,0.9615
68_CWE-601.py,0.8764
69_CWE-93.py,0.7428
6_CWE-918.py,0.8965
70_CWE-93.py,0.6857
71_CWE-93.py,0.7951
72_CWE-93.py,0.7733
73_CWE-93.py,0.7675
74_CWE-79.py,0.9627
75_CWE-918.py,0.9763
76_CWE-284.py,0.9763
77_CWE-918.py,0.8613
78_CWE-116.py,0.8726
79_CWE-918.py,0.8737
7_CWE-918.py,0.8585
80_CWE-601.py,0.9283
81_CWE-264.py,0.9673
82_CWE-78.py,0.7858
83_CWE-22.py,0.7858
84_CWE-352.py,0.9187
85_CWE-290.py,0.9145
86_CWE-835.py,0.9015
87_CWE-444.py,0.9600
88_CWE-79.py,0.9653
89_CWE-22.py,0.8056
8_CWE-918.py,0.8585
90_CWE-22.py,0.8056
91_CWE-918.py,0.8056
92_CWE-22.py,0.8678
93_CWE-22.py,0.8678
94_CWE-918.py,0.8678
95_CWE-79.py,0.8994
96_CWE-918.py,0.8914
97_CWE-918.py,0.8914
98_CWE-918.py,0.9290
99_CWE-918.py,0.9290
9_CWE-918.py,0.8780
min,0.6857
max,0.9964
mean,0.9146
