,cosine-similarity
100_CWE-918.py,0.9605
10_CWE-918.py,0.8783
11_CWE-918.py,0.9078
12_CWE-918.py,0.9078
13_CWE-918.py,0.9686
14_CWE-918.py,0.9686
15_CWE-918.py,0.9292
16_CWE-918.py,0.9292
17_CWE-918.py,0.9927
18_CWE-918.py,0.9927
19_CWE-918.py,0.9534
1_CWE-918.py,0.9502
20_CWE-918.py,0.9534
21_CWE-918.py,0.9850
22_CWE-918.py,0.9850
23_CWE-918.py,0.9166
24_CWE-918.py,0.9166
25_CWE-918.py,0.9956
26_CWE-918.py,0.9956
27_CWE-918.py,0.9893
28_CWE-918.py,0.9893
29_CWE-918.py,0.9391
2_CWE-918.py,0.9375
30_CWE-918.py,0.9391
31_CWE-918.py,0.9676
32_CWE-918.py,0.9676
33_CWE-918.py,0.9378
34_CWE-918.py,0.9378
35_CWE-918.py,0.9411
36_CWE-918.py,0.9411
37_CWE-918.py,0.9633
38_CWE-918.py,0.9633
39_CWE-918.py,0.9962
3_CWE-601.py,0.9942
40_CWE-918.py,0.9962
41_CWE-918.py,0.9540
42_CWE-918.py,0.9540
43_CWE-918.py,0.9537
44_CWE-918.py,0.9537
45_CWE-918.py,0.9437
46_CWE-918.py,0.9437
47_CWE-918.py,0.9774
48_CWE-918.py,0.9774
49_CWE-918.py,0.9488
4_CWE-601.py,0.9552
50_CWE-918.py,0.9488
51_CWE-918.py,0.9817
52_CWE-918.py,0.9817
53_CWE-918.py,0.9079
54_CWE-918.py,0.9079
55_CWE-918.py,0.9797
56_CWE-918.py,0.9797
57_CWE-918.py,0.9372
58_CWE-918.py,0.9372
59_CWE-918.py,0.9659
5_CWE-918.py,0.9603
60_CWE-918.py,0.9659
61_CWE-918.py,0.9224
62_CWE-918.py,0.9224
63_CWE-863.py,0.8646
64_CWE-863.py,0.9173
65_CWE-863.py,0.9450
66_CWE-203.py,0.9501
67_CWE-203.py,0.9640
68_CWE-601.py,0.9167
69_CWE-93.py,0.8671
6_CWE-918.py,0.9603
70_CWE-93.py,0.7958
71_CWE-93.py,0.8638
72_CWE-93.py,0.8474
73_CWE-93.py,0.8635
74_CWE-79.py,0.9809
75_CWE-918.py,0.9763
76_CWE-284.py,0.9763
77_CWE-918.py,0.9233
78_CWE-116.py,0.9141
79_CWE-918.py,0.9399
7_CWE-918.py,0.8876
80_CWE-601.py,0.9376
81_CWE-264.py,0.9862
82_CWE-78.py,0.8700
83_CWE-22.py,0.8700
84_CWE-352.py,0.9295
85_CWE-290.py,0.9317
86_CWE-835.py,0.9142
87_CWE-444.py,0.9605
88_CWE-79.py,0.9745
89_CWE-22.py,0.8544
8_CWE-918.py,0.8876
90_CWE-22.py,0.8544
91_CWE-918.py,0.8544
92_CWE-22.py,0.9213
93_CWE-22.py,0.9213
94_CWE-918.py,0.9213
95_CWE-79.py,0.9175
96_CWE-918.py,0.8998
97_CWE-918.py,0.8998
98_CWE-918.py,0.9450
99_CWE-918.py,0.9450
9_CWE-918.py,0.8783
min,0.7958
max,0.9962
mean,0.9378
