,cosine-similarity
100_CWE-918.py,0.9667
10_CWE-918.py,0.8670
11_CWE-918.py,0.8701
12_CWE-918.py,0.8701
13_CWE-918.py,0.9647
14_CWE-918.py,0.9647
15_CWE-918.py,0.9296
16_CWE-918.py,0.9296
17_CWE-918.py,0.9948
18_CWE-918.py,0.9948
19_CWE-918.py,0.9380
1_CWE-918.py,0.9190
20_CWE-918.py,0.9380
21_CWE-918.py,0.9720
22_CWE-918.py,0.9720
23_CWE-918.py,0.9111
24_CWE-918.py,0.9111
25_CWE-918.py,0.9914
26_CWE-918.py,0.9914
27_CWE-918.py,0.9835
28_CWE-918.py,0.9835
29_CWE-918.py,0.9072
2_CWE-918.py,0.8756
30_CWE-918.py,0.9072
31_CWE-918.py,0.9542
32_CWE-918.py,0.9542
33_CWE-918.py,0.9272
34_CWE-918.py,0.9272
35_CWE-918.py,0.9380
36_CWE-918.py,0.9380
37_CWE-918.py,0.9640
38_CWE-918.py,0.9640
39_CWE-918.py,0.9930
3_CWE-601.py,0.9923
40_CWE-918.py,0.9930
41_CWE-918.py,0.9424
42_CWE-918.py,0.9424
43_CWE-918.py,0.9678
44_CWE-918.py,0.9678
45_CWE-918.py,0.9627
46_CWE-918.py,0.9627
47_CWE-918.py,0.9761
48_CWE-918.py,0.9761
49_CWE-918.py,0.9299
4_CWE-601.py,0.9296
50_CWE-918.py,0.9299
51_CWE-918.py,0.9832
52_CWE-918.py,0.9832
53_CWE-918.py,0.8858
54_CWE-918.py,0.8858
55_CWE-918.py,0.9636
56_CWE-918.py,0.9636
57_CWE-918.py,0.9262
58_CWE-918.py,0.9262
59_CWE-918.py,0.9579
5_CWE-918.py,0.9086
60_CWE-918.py,0.9579
61_CWE-918.py,0.8389
62_CWE-918.py,0.8389
63_CWE-863.py,0.7700
64_CWE-863.py,0.8945
65_CWE-863.py,0.9207
66_CWE-203.py,0.9084
67_CWE-203.py,0.9493
68_CWE-601.py,0.8619
69_CWE-93.py,0.7196
6_CWE-918.py,0.9086
70_CWE-93.py,0.6761
71_CWE-93.py,0.7737
72_CWE-93.py,0.7415
73_CWE-93.py,0.7413
74_CWE-79.py,0.9548
75_CWE-918.py,0.9772
76_CWE-284.py,0.9772
77_CWE-918.py,0.8677
78_CWE-116.py,0.8947
79_CWE-918.py,0.8714
7_CWE-918.py,0.8410
80_CWE-601.py,0.9121
81_CWE-264.py,0.9745
82_CWE-78.py,0.7396
83_CWE-22.py,0.7396
84_CWE-352.py,0.9115
85_CWE-290.py,0.9178
86_CWE-835.py,0.9015
87_CWE-444.py,0.9658
88_CWE-79.py,0.9619
89_CWE-22.py,0.8062
8_CWE-918.py,0.8410
90_CWE-22.py,0.8062
91_CWE-918.py,0.8062
92_CWE-22.py,0.8743
93_CWE-22.py,0.8743
94_CWE-918.py,0.8743
95_CWE-79.py,0.9237
96_CWE-918.py,0.8663
97_CWE-918.py,0.8663
98_CWE-918.py,0.9519
99_CWE-918.py,0.9519
9_CWE-918.py,0.8670
min,0.6761
max,0.9948
mean,0.9119
