,cosine-similarity
100_reentrancy.sol,0.9254
101_reentrancy.sol,0.9280
102_reentrancy.sol,0.9714
103_reentrancy.sol,0.9773
104_reentrancy.sol,0.9609
105_reentrancy.sol,0.9777
106_reentrancy.sol,0.9843
107_reentrancy.sol,0.9763
108_reentrancy.sol,0.9768
109_reentrancy.sol,0.9850
110_reentrancy.sol,0.9710
111_reentrancy.sol,0.9853
112_reentrancy.sol,0.9313
113_reentrancy.sol,0.9243
114_reentrancy.sol,0.9768
115_reentrancy.sol,0.9765
116_reentrancy.sol,0.9775
117_reentrancy.sol,0.9360
118_reentrancy.sol,0.9065
119_reentrancy.sol,0.9777
11_access_control.sol,0.9555
120_reentrancy.sol,0.9678
121_reentrancy.sol,0.9728
122_reentrancy.sol,0.9680
123_reentrancy.sol,0.9759
124_reentrancy.sol,0.9670
125_reentrancy.sol,0.9790
126_reentrancy.sol,0.9185
127_time_manipulation.sol,0.8279
128_time_manipulation.sol,0.9362
129_time_manipulation.sol,0.9123
12_access_control.sol,0.8650
130_time_manipulation.sol,0.8871
131_time_manipulation.sol,0.9383
132_short_addresses.sol,0.9528
133_denial_of_service.sol,0.9511
134_denial_of_service.sol,0.9291
135_denial_of_service.sol,0.9821
136_denial_of_service.sol,0.9130
137_denial_of_service.sol,0.9161
138_denial_of_service.sol,0.8629
13_access_control.sol,0.9925
14_access_control.sol,0.9372
15_access_control.sol,0.8815
16_access_control.sol,0.9285
17_access_control.sol,0.8789
18_access_control.sol,0.9483
19_access_control.sol,0.8727
20_access_control.sol,0.9427
21_access_control.sol,0.8699
22_access_control.sol,0.9400
23_access_control.sol,0.8559
24_access_control.sol,0.8707
25_access_control.sol,0.8970
26_access_control.sol,0.9869
27_unchecked_low_level_calls.sol,0.9356
28_unchecked_low_level_calls.sol,0.9720
29_unchecked_low_level_calls.sol,0.9319
30_unchecked_low_level_calls.sol,0.9897
31_unchecked_low_level_calls.sol,0.9268
32_unchecked_low_level_calls.sol,0.9761
33_unchecked_low_level_calls.sol,0.7910
34_unchecked_low_level_calls.sol,0.9573
35_unchecked_low_level_calls.sol,0.9381
36_unchecked_low_level_calls.sol,0.9786
37_unchecked_low_level_calls.sol,0.9235
38_unchecked_low_level_calls.sol,0.9774
39_unchecked_low_level_calls.sol,0.9922
40_unchecked_low_level_calls.sol,0.9882
41_unchecked_low_level_calls.sol,0.9802
42_unchecked_low_level_calls.sol,0.9450
43_unchecked_low_level_calls.sol,0.9079
44_unchecked_low_level_calls.sol,0.9374
45_unchecked_low_level_calls.sol,0.9734
46_unchecked_low_level_calls.sol,0.9025
47_unchecked_low_level_calls.sol,0.9768
48_unchecked_low_level_calls.sol,0.9162
49_unchecked_low_level_calls.sol,0.9562
50_unchecked_low_level_calls.sol,0.9556
51_unchecked_low_level_calls.sol,0.9249
52_unchecked_low_level_calls.sol,0.9299
53_unchecked_low_level_calls.sol,0.8700
54_unchecked_low_level_calls.sol,0.9179
55_unchecked_low_level_calls.sol,0.9332
56_unchecked_low_level_calls.sol,0.9279
57_unchecked_low_level_calls.sol,0.9773
58_unchecked_low_level_calls.sol,0.9493
59_unchecked_low_level_calls.sol,0.9441
60_unchecked_low_level_calls.sol,0.7971
61_unchecked_low_level_calls.sol,0.9913
62_unchecked_low_level_calls.sol,0.9402
63_unchecked_low_level_calls.sol,0.9015
64_unchecked_low_level_calls.sol,0.9757
65_unchecked_low_level_calls.sol,0.9526
66_unchecked_low_level_calls.sol,0.9777
67_unchecked_low_level_calls.sol,0.9422
68_unchecked_low_level_calls.sol,0.9061
69_unchecked_low_level_calls.sol,0.9041
70_unchecked_low_level_calls.sol,0.9172
71_unchecked_low_level_calls.sol,0.9110
72_unchecked_low_level_calls.sol,0.9724
73_front_running.sol,0.9123
74_front_running.sol,0.9538
75_front_running.sol,0.9844
76_front_running.sol,0.9368
77_arithmetic.sol,0.8855
78_arithmetic.sol,0.8660
79_arithmetic.sol,0.8886
80_arithmetic.sol,0.8569
81_arithmetic.sol,0.9402
82_arithmetic.sol,0.9520
83_arithmetic.sol,0.8792
84_arithmetic.sol,0.8494
85_arithmetic.sol,0.8744
86_arithmetic.sol,0.9328
87_arithmetic.sol,0.9402
88_arithmetic.sol,0.8697
89_arithmetic.sol,0.8836
90_arithmetic.sol,0.9124
91_bad_randomness.sol,0.9731
92_bad_randomness.sol,0.9915
93_bad_randomness.sol,0.9796
94_bad_randomness.sol,0.9371
95_bad_randomness.sol,0.9433
96_bad_randomness.sol,0.9398
97_reentrancy.sol,0.9769
98_reentrancy.sol,0.9576
99_reentrancy.sol,0.9742
min,0.7910
max,0.9925
mean,0.9359
