blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
find-a-corresponding-node-of-a-binary-tree-in-a-clone-of-that-tree-Solution.getTargetCopy,43,44,5,8,0.5057471264367817
prime-palindrome-Solution.primePalindrome,44,43,6,7,0.4942528735632184
campus-bikes-ii-Solution2.assignBikes,49,38,5,8,0.4367816091954023
sell-diminishing-valued-colored-balls-Solution.maxProfit,49,38,3,10,0.4367816091954023
check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence-Solution.isPrefixOfWord,50,37,7,6,0.42528735632183906
game-of-life-Solution.gameOfLife,51,36,5,8,0.41379310344827586
minimum-moves-to-move-a-box-to-their-target-location-Solution.minPushBox,52,35,3,10,0.40229885057471265
set-matrix-zeroes-Solution.setZeroes,52,35,1,12,0.40229885057471265
missing-element-in-sorted-array-Solution.missingElement,53,34,6,7,0.39080459770114945
partition-array-into-disjoint-intervals-Solution.partitionDisjoint,53,34,5,8,0.39080459770114945
sum-of-number-and-its-reverse-Solution2.sumOfNumberAndReverse,53,34,8,5,0.39080459770114945
ransom-note-Solution.canConstruct,54,33,5,8,0.3793103448275862
reverse-string-Solution.reverseString,54,33,5,8,0.3793103448275862
design-twitter-Twitter.getNewsFeed,55,32,4,9,0.367816091954023
find-resultant-array-after-removing-anagrams-Solution2.removeAnagrams,55,32,5,8,0.367816091954023
design-a-todo-list-TodoList2.addTask,56,31,4,9,0.3563218390804598
correct-a-binary-tree-Solution.correctBinaryTree,57,30,5,8,0.3448275862068966
decoded-string-at-index-Solution.decodeAtIndex,57,30,5,8,0.3448275862068966
duplicate-zeros-Solution.duplicateZeros,57,30,5,8,0.3448275862068966
find-the-largest-palindrome-divisible-by-k-Solution.largestPalindrome,57,30,6,7,0.3448275862068966
maximum-strong-pair-xor-i-Solution3.maximumStrongPairXor,57,30,5,8,0.3448275862068966
rotate-image-Solution.rotate,57,30,3,10,0.3448275862068966
copy-list-with-random-pointer-Solution2.copyRandomList,58,29,4,9,0.3333333333333333
kth-missing-positive-number-Solution.findKthPositive,58,29,5,8,0.3333333333333333
sort-even-and-odd-indices-independently-Solution2.sortEvenOdd,58,29,4,9,0.3333333333333333
surrounded-regions-Solution.solve,58,29,4,9,0.3333333333333333
apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k-Solution.minOperations,59,28,7,6,0.3218390804597701
decrypt-string-from-alphabet-to-integer-mapping-Solution2.freqAlphabets,59,28,5,8,0.3218390804597701
distribute-candies-among-children-iii-Solution.distributeCandies,59,28,3,10,0.3218390804597701
k-similar-strings-Solution.kSimilarity,59,28,4,9,0.3218390804597701
palindrome-permutation-ii-Solution.permuteUniqueRecu,59,28,7,6,0.3218390804597701
basic-calculator-Solution2.calculate,60,27,5,8,0.3103448275862069
island-perimeter-Solution.islandPerimeter,60,27,4,9,0.3103448275862069
maximum-height-by-stacking-cuboids-Solution.maxHeight,60,27,5,8,0.3103448275862069
number-of-days-between-two-dates-Solution.daysBetweenDates,60,27,2,11,0.3103448275862069
number-of-unique-good-subsequences-Solution.numberOfUniqueGoodSubsequences,60,27,3,10,0.3103448275862069
product-of-the-last-k-numbers-ProductOfNumbers.add,60,27,5,8,0.3103448275862069
