blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
maximum-number-of-moves-to-kill-all-pawns-Solution.maxMoves,3,45,0,52,0.9375
modify-graph-edge-weights-Solution.modifiedGraphEdges,3,45,0,52,0.9375
ugly-number-iii-Solution.nthUglyNumber,3,45,0,52,0.9375
erect-the-fence-ii-Solution.outerTrees,4,44,0,52,0.9166666666666666
maximum-employees-to-be-invited-to-a-meeting-Solution.maximumInvitations,4,44,0,52,0.9166666666666666
robot-room-cleaner-Solution.cleanRoom,4,44,1,51,0.9166666666666666
verbal-arithmetic-puzzle-Solution.isSolvable,4,44,0,52,0.9166666666666666
collect-coins-in-a-tree-Solution.collectTheCoins,5,43,0,52,0.8958333333333334
count-unhappy-friends-Solution.unhappyFriends,5,43,1,51,0.8958333333333334
count-ways-to-build-rooms-in-an-ant-colony-Solution.waysToBuildRooms,5,43,0,52,0.8958333333333334
erect-the-fence-Solution.outerTrees,5,43,0,52,0.8958333333333334
game-of-life-Solution.gameOfLife,5,43,0,52,0.8958333333333334
maximize-number-of-nice-divisors-Solution.maxNiceDivisors,5,43,2,50,0.8958333333333334
maximum-font-to-fit-a-sentence-in-a-screen-Solution.maxFont,5,43,0,52,0.8958333333333334
minimum-cost-to-buy-apples-Solution.minCost,5,43,0,52,0.8958333333333334
number-of-ways-to-build-sturdy-brick-wall-Solution_TLE.buildWall,5,43,0,52,0.8958333333333334
pour-water-between-buckets-to-make-water-levels-equal-Solution.equalizeWater,5,43,0,52,0.8958333333333334
sell-diminishing-valued-colored-balls-Solution.maxProfit,5,43,4,48,0.8958333333333334
smallest-integer-divisible-by-k-Solution.smallestRepunitDivByK,5,43,1,51,0.8958333333333334
surrounded-regions-Solution.solve,5,43,1,51,0.8958333333333334
word-search-ii-Solution.findWordsRecu,5,43,1,51,0.8958333333333334
find-the-largest-palindrome-divisible-by-k-Solution.largestPalindrome,6,42,0,52,0.875
maximum-number-of-ones-Solution.maximumNumberOfOnes,6,42,0,52,0.875
sum-game-Solution.sumGame,6,42,0,52,0.875
sum-of-all-odd-length-subarrays-Solution.sumOddLengthSubarrays,6,42,0,52,0.875
the-number-of-good-subsets-Solution.numberOfGoodSubsets,6,42,2,50,0.875
wiggle-sort-ii-Solution2.wiggleSort,6,42,0,52,0.875
build-a-matrix-with-conditions-Solution.buildMatrix,7,41,1,51,0.8541666666666666
correct-a-binary-tree-Solution.correctBinaryTree,7,41,1,51,0.8541666666666666
count-sub-islands-Solution.countSubIslands,7,41,1,51,0.8541666666666666
distribute-repeating-integers-Solution.canDistribute,7,41,0,52,0.8541666666666666
find-products-of-elements-of-big-array-Solution.findProductsOfElements,7,41,1,51,0.8541666666666666
get-biggest-three-rhombus-sums-in-a-grid-Solution.getBiggestThree,7,41,1,51,0.8541666666666666
handling-sum-queries-after-update-Solution.handleQuery,7,41,1,51,0.8541666666666666
maximum-side-length-of-a-square-with-sum-less-than-or-equal-to-threshold-Solution.maxSideLength,7,41,0,52,0.8541666666666666
