case_id,vuln_type,audit_report,input_token_num,output_token_num,inference_time
11,access control,error: gpt4 fail,0,0,17.46108865737915
12,access control,error: gpt4 fail,0,0,17.55412793159485
13,access control,error: gpt4 fail,0,0,17.81978726387024
14,access control,error: gpt4 fail,0,0,17.130770921707153
15,access control,error: gpt4 fail,0,0,17.2807354927063
16,access control,error: gpt4 fail,0,0,18.15402889251709
17,access control,error: gpt4 fail,0,0,17.587671756744385
18,access control,error: gpt4 fail,0,0,17.271825313568115
19,access control,error: gpt4 fail,0,0,17.03350281715393
20,access control,error: gpt4 fail,0,0,17.015762329101562
21,access control,error: gpt4 fail,0,0,17.080373764038086
22,access control,error: gpt4 fail,0,0,17.337476015090942
23,access control,error: gpt4 fail,0,0,17.3570716381073
24,access control,error: gpt4 fail,0,0,17.46264886856079
25,access control,error: gpt4 fail,0,0,17.40907049179077
26,access control,error: gpt4 fail,0,0,17.26447820663452
27,unchecked low level calls,error: gpt4 fail,0,0,17.83303689956665
28,unchecked low level calls,error: gpt4 fail,0,0,17.482116222381592
29,unchecked low level calls,error: gpt4 fail,0,0,17.469905138015747
30,unchecked low level calls,error: gpt4 fail,0,0,17.33266282081604
31,unchecked low level calls,error: gpt4 fail,0,0,17.172841548919678
32,unchecked low level calls,error: gpt4 fail,0,0,17.7448992729187
33,unchecked low level calls,error: gpt4 fail,0,0,17.202033281326294
34,unchecked low level calls,error: gpt4 fail,0,0,17.499278783798218
35,unchecked low level calls,error: gpt4 fail,0,0,18.116159915924072
36,unchecked low level calls,error: gpt4 fail,0,0,17.613956689834595
37,unchecked low level calls,error: gpt4 fail,0,0,17.449119091033936
38,unchecked low level calls,error: gpt4 fail,0,0,17.55726146697998
39,unchecked low level calls,error: gpt4 fail,0,0,17.393232107162476
40,unchecked low level calls,error: gpt4 fail,0,0,17.595067262649536
41,unchecked low level calls,error: gpt4 fail,0,0,17.56337022781372
42,unchecked low level calls,error: gpt4 fail,0,0,17.792844772338867
43,unchecked low level calls,error: gpt4 fail,0,0,17.55719256401062
44,unchecked low level calls,error: gpt4 fail,0,0,17.458693981170654
45,unchecked low level calls,error: gpt4 fail,0,0,18.345747709274292
46,unchecked low level calls,error: gpt4 fail,0,0,17.10232663154602
47,unchecked low level calls,error: gpt4 fail,0,0,17.68817162513733
48,unchecked low level calls,error: gpt4 fail,0,0,17.18778681755066
49,unchecked low level calls,error: gpt4 fail,0,0,17.87802028656006
50,unchecked low level calls,error: gpt4 fail,0,0,17.78326392173767
51,unchecked low level calls,error: gpt4 fail,0,0,16.910728216171265
52,unchecked low level calls,error: gpt4 fail,0,0,17.526369094848633
53,unchecked low level calls,error: gpt4 fail,0,0,17.299733638763428
54,unchecked low level calls,error: gpt4 fail,0,0,17.538429260253906
55,unchecked low level calls,error: gpt4 fail,0,0,17.807766437530518
56,unchecked low level calls,error: gpt4 fail,0,0,17.35404682159424
57,unchecked low level calls,error: gpt4 fail,0,0,18.073585987091064
58,unchecked low level calls,error: gpt4 fail,0,0,17.36653995513916
59,unchecked low level calls,error: gpt4 fail,0,0,17.995728492736816
60,unchecked low level calls,error: gpt4 fail,0,0,17.387555837631226
61,unchecked low level calls,error: gpt4 fail,0,0,17.18639850616455
62,unchecked low level calls,error: gpt4 fail,0,0,17.447834014892578
63,unchecked low level calls,error: gpt4 fail,0,0,17.153396129608154
64,unchecked low level calls,error: gpt4 fail,0,0,17.494911909103394
65,unchecked low level calls,error: gpt4 fail,0,0,17.856605052947998
66,unchecked low level calls,error: gpt4 fail,0,0,17.393662691116333
67,unchecked low level calls,error: gpt4 fail,0,0,18.419210195541382
68,unchecked low level calls,error: gpt4 fail,0,0,17.27767562866211
69,unchecked low level calls,error: gpt4 fail,0,0,17.373311042785645
70,unchecked low level calls,error: gpt4 fail,0,0,17.62539553642273
71,unchecked low level calls,error: gpt4 fail,0,0,17.362125635147095
72,unchecked low level calls,error: gpt4 fail,0,0,17.47759509086609
73,front running,error: gpt4 fail,0,0,17.275196075439453
74,front running,error: gpt4 fail,0,0,17.520353317260742
75,front running,error: gpt4 fail,0,0,17.322225332260132
76,front running,error: gpt4 fail,0,0,17.266185760498047
77,arithmetic,error: gpt4 fail,0,0,17.387699365615845
78,arithmetic,error: gpt4 fail,0,0,17.415573835372925
79,arithmetic,error: gpt4 fail,0,0,17.295827627182007
80,arithmetic,error: gpt4 fail,0,0,17.038100004196167
81,arithmetic,error: gpt4 fail,0,0,17.70850920677185
82,arithmetic,error: gpt4 fail,0,0,17.26792550086975
83,arithmetic,error: gpt4 fail,0,0,17.130980014801025
84,arithmetic,error: gpt4 fail,0,0,17.293027877807617
85,arithmetic,error: gpt4 fail,0,0,17.316795110702515
86,arithmetic,error: gpt4 fail,0,0,17.61404538154602
87,arithmetic,error: gpt4 fail,0,0,17.39565110206604
88,arithmetic,error: gpt4 fail,0,0,17.058964014053345
89,arithmetic,error: gpt4 fail,0,0,17.569021940231323
90,arithmetic,error: gpt4 fail,0,0,17.109466075897217
91,bad randomness,error: gpt4 fail,0,0,17.55031991004944
92,bad randomness,error: gpt4 fail,0,0,17.541207551956177
93,bad randomness,error: gpt4 fail,0,0,17.609556913375854
94,bad randomness,error: gpt4 fail,0,0,17.291657209396362
95,bad randomness,error: gpt4 fail,0,0,17.421573638916016
96,bad randomness,error: gpt4 fail,0,0,17.62194299697876
97,reentrancy,error: gpt4 fail,0,0,17.052417755126953
98,reentrancy,error: gpt4 fail,0,0,17.45438241958618
99,reentrancy,error: gpt4 fail,0,0,17.977728366851807
100,reentrancy,error: gpt4 fail,0,0,17.541977167129517
101,reentrancy,error: gpt4 fail,0,0,17.406678676605225
102,reentrancy,error: gpt4 fail,0,0,17.235044956207275
103,reentrancy,error: gpt4 fail,0,0,17.107349634170532
104,reentrancy,error: gpt4 fail,0,0,17.46983051300049
105,reentrancy,error: gpt4 fail,0,0,17.632731676101685
106,reentrancy,error: gpt4 fail,0,0,17.255091667175293
107,reentrancy,error: gpt4 fail,0,0,17.1374933719635
108,reentrancy,error: gpt4 fail,0,0,17.14184856414795
109,reentrancy,error: gpt4 fail,0,0,17.2270348072052
110,reentrancy,error: gpt4 fail,0,0,17.623943328857422
111,reentrancy,error: gpt4 fail,0,0,17.377202033996582
112,reentrancy,error: gpt4 fail,0,0,17.31386709213257
113,reentrancy,error: gpt4 fail,0,0,17.308900833129883
114,reentrancy,error: gpt4 fail,0,0,17.730231761932373
115,reentrancy,error: gpt4 fail,0,0,17.088114738464355
116,reentrancy,error: gpt4 fail,0,0,16.76690125465393
117,reentrancy,error: gpt4 fail,0,0,17.262327909469604
118,reentrancy,error: gpt4 fail,0,0,17.47088074684143
119,reentrancy,error: gpt4 fail,0,0,17.655269861221313
120,reentrancy,error: gpt4 fail,0,0,17.935752391815186
121,reentrancy,error: gpt4 fail,0,0,17.32757067680359
122,reentrancy,error: gpt4 fail,0,0,17.267812252044678
123,reentrancy,error: gpt4 fail,0,0,17.332531213760376
124,reentrancy,error: gpt4 fail,0,0,17.44476342201233
125,reentrancy,error: gpt4 fail,0,0,17.35399842262268
126,reentrancy,error: gpt4 fail,0,0,17.125164270401
127,time manipulation,error: gpt4 fail,0,0,17.670313835144043
128,time manipulation,error: gpt4 fail,0,0,16.928680181503296
129,time manipulation,error: gpt4 fail,0,0,17.432496786117554
130,time manipulation,error: gpt4 fail,0,0,17.242659091949463
131,time manipulation,error: gpt4 fail,0,0,17.570738792419434
132,short addresses,error: gpt4 fail,0,0,17.663103342056274
133,denial of service,error: gpt4 fail,0,0,17.7485454082489
