blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
8543-ConvertLib.convert,46,72,1,9,0.6101694915254238
9757-ZhenNet.store,48,70,1,9,0.5932203389830508
2931-StringDump.emitEvent,51,67,1,9,0.5677966101694916
1851-secondContract.BirthdayBoyClickHere,61,57,1,9,0.4830508474576271
4500-OrderString.getOrderString,61,57,1,9,0.4830508474576271
9192-proofofpower.uploadData,62,56,1,9,0.4745762711864407
2979-WhiteList.canTransfer,68,50,1,9,0.423728813559322
2844-InternalTxsTest.batch,69,49,1,9,0.4152542372881356
3655-Factory.createPermissionsBot,70,48,1,9,0.4067796610169492
5716-ViewBalances.checkBalances,76,42,1,9,0.3559322033898305
7006-NameFilter.nameFilter,77,41,3,7,0.3474576271186441
2742-Hasher.hashLoop,81,37,2,8,0.3135593220338983
6158-GongChuangToken.GongChuangToken,81,37,1,9,0.3135593220338983
1721-StringYokes.zint_bytes32ToString,86,32,1,9,0.2711864406779661
1726-StringYokes.zint_bytes32ToString,86,32,1,9,0.2711864406779661
1905-StringYokes.zint_bytes32ToString,86,32,1,9,0.2711864406779661
5936-StringYokes.zint_bytes32ToString,86,32,1,9,0.2711864406779661
7772-getKittyInfo.getInfo,86,32,2,8,0.2711864406779661
5267-MultiTransfer.multiTransfer,87,31,2,8,0.2627118644067797
2418-Untitled.test,88,30,2,8,0.2542372881355932
2609-airdropManager.send,89,29,2,8,0.2457627118644068
8328-CustomToken.CustomToken,89,29,2,8,0.2457627118644068
5178-Rainmaker.letItRain,90,28,1,9,0.23728813559322035
6576-CustomToken.CustomToken,90,28,2,8,0.23728813559322035
7041-Airdrop.drop,90,28,2,8,0.23728813559322035
9700-Airdrop.drop,90,28,2,8,0.23728813559322035
9800-CustomToken.CustomToken,90,28,2,8,0.23728813559322035
1967-CustomToken.CustomToken,91,27,2,8,0.2288135593220339
2032-CustomToken.CustomToken,91,27,2,8,0.2288135593220339
4520-CustomToken.CustomToken,91,27,2,8,0.2288135593220339
6402-CustomToken.CustomToken,91,27,2,8,0.2288135593220339
7505-CustomToken.CustomToken,91,27,2,8,0.2288135593220339
1816-CustomToken.CustomToken,92,26,2,8,0.22033898305084745
351-CustomToken.CustomToken,92,26,1,9,0.22033898305084745
4036-CustomToken.CustomToken,92,26,2,8,0.22033898305084745
5285-CustomToken.CustomToken,92,26,2,8,0.22033898305084745
8463-CustomToken.CustomToken,92,26,2,8,0.22033898305084745
4088-CustomToken.CustomToken,93,25,2,8,0.211864406779661
5958-VpaxContract.transferCoins,94,24,3,7,0.2033898305084746
8406-balanceChecker.checkBals,94,24,2,8,0.2033898305084746
7303-CustomToken.CustomToken,95,23,2,8,0.19491525423728814
4043-CustomToken.CustomToken,96,22,2,8,0.1864406779661017
2230-CustomToken.CustomToken,98,20,2,8,0.1694915254237288
2273-Airdropper.multisend,98,20,2,8,0.1694915254237288
1834-CustomToken.CustomToken,100,18,2,8,0.15254237288135594
9196-CustomToken.CustomToken,100,18,2,8,0.15254237288135594
2675-Airdropper.multisend,101,17,1,9,0.1440677966101695
2912-Airdropper.multisend,101,17,2,8,0.1440677966101695
457-CustomToken.CustomToken,101,17,2,8,0.1440677966101695
6270-CustomToken.CustomToken,101,17,2,8,0.1440677966101695
761-MultiTransfer.transfer,101,17,2,8,0.1440677966101695
8458-CustomToken.CustomToken,101,17,2,8,0.1440677966101695
9689-CustomToken.CustomToken,101,17,2,8,0.1440677966101695
3405-Airdropper.multisend,102,16,2,8,0.13559322033898305
3993-Giver.getToken,102,16,6,4,0.13559322033898305
6279-CustomToken.CustomToken,102,16,1,9,0.13559322033898305
7540-LoeriadeNabidaz.pay,102,16,3,7,0.13559322033898305
801-CustomToken.CustomToken,102,16,2,8,0.13559322033898305
8846-CustomToken.CustomToken,102,16,2,8,0.13559322033898305
2488-Airdropper.multisend,103,15,2,8,0.1271186440677966
5286-CustomToken.CustomToken,103,15,2,8,0.1271186440677966
5444-Airdropper.multisend,103,15,2,8,0.1271186440677966
5496-CustomToken.CustomToken,103,15,2,8,0.1271186440677966
5848-Airdropper.multisend,103,15,2,8,0.1271186440677966
8228-ENXAirDrop.airDrop,103,15,2,8,0.1271186440677966
9900-Disperse.disperseToken,103,15,3,7,0.1271186440677966
3671-Foo.doit,104,14,6,4,0.11864406779661017
3682-Foo.doit,104,14,5,5,0.11864406779661017
3829-ECRecovery.recover,104,14,4,6,0.11864406779661017
7070-CustomToken.CustomToken,104,14,1,9,0.11864406779661017
920-QuantumpayAirdropper.multisend,105,13,2,8,0.11016949152542373
9827-CustomToken.CustomToken,105,13,1,9,0.11016949152542373
1976-Airdropper.multisend,106,12,1,9,0.1016949152542373
2242-Airdropper.multisend,106,12,1,9,0.1016949152542373
3916-br.sendToken,106,12,2,8,0.1016949152542373
7364-FileCoinCash.FileCoinCash,106,12,3,7,0.1016949152542373
1863-StringLib.generateName,107,11,4,6,0.09322033898305085
2297-BITXMultiTransfer.multisend,107,11,2,8,0.09322033898305085
1004-Airdrop.doAirdrop,108,10,5,5,0.0847457627118644
